TTY_ID,TTY_NAME,TTY_TITLE,TTY_ENABLED,TTY_PARENTID,TTY_ORDER
0,edit,Edit,1,NULL,3
1,basic,Basic,1,NULL,1
5,query,Query,1,NULL,2
